"No.","公開番号","案件の状態","発注方式","電入／紙入","工事番号","工事名","所属コード","所属名","工事場所","予定価格（税抜）","予定価格（税込）","公告（通知）日","開札予定日","更新日時","発注業種","発注業種２"
"551","163044","","一般競争入札","電子入札","平成２８年度　２８年災　第９号","印南川河川災害復旧工事","130560","日高振興局建設部","日高郡印南町","3351000","3619080","2016/10/20","2016/11/01","2016/11/08 06:30","土木一式工事",""
"552","163049","","一般競争入札","電子入札","平成２８年度　２８年災　第２０号","御坊由良線道路災害復旧（外）合併工事","130560","日高振興局建設部","日高郡美浜町","29380000","31730400","2016/10/20","2016/11/01","2016/11/05 06:30","とび・土工・コンクリート工事",""
"553","163052","","一般競争入札","電子入札","平成２８年度　２８年災　第１６号","樮川河川災害復旧（外）合併工事","130560","日高振興局建設部","日高郡印南町","2282000","2464560","2016/10/20","2016/11/01","2016/11/05 06:30","土木一式工事",""
"554","163041","","一般競争入札","電子入札","平成２８年度　２８年災　第１１号","印南川河川災害復旧（外）合併工事","130560","日高振興局建設部","日高郡印南町","11459000","12375720","2016/10/20","2016/11/01","2016/11/05 06:30","土木一式工事",""
"555","163021","","一般競争入札","電子入札","平成２７年度　道保交金　第６０２－３２号－３","国道３１１号交付金道路保全外合併工事","130660","西牟婁振興局建設部","田辺市","14156000","15288480","2016/10/20","2016/10/31","2016/10/25 09:26","とび・土工・コンクリート工事",""
"556","163023","","一般競争入札","電子入札","平成２７年度　道改交金　第１６－３１号－２","国道３７１号道路改良工事","130660","西牟婁振興局建設部","田辺市","6759000","7299720","2016/10/20","2016/10/31","2016/11/07 06:30","土木一式工事",""
"557","163020","","一般競争入札","電子入札","平成２７年度　道改交金　第１２５号－５","生石公園線道路改良合併工事","130460","有田振興局建設部","有田郡有田川町","13792000","14895360","2016/10/20","2016/11/02","2016/11/08 13:57","土木一式工事",""
"558","163013","","一般競争入札","電子入札","平成２７年度　砂修　第９号－２０","佐野地区砂防修繕工事","130770","東牟婁振興局新宮建設部","新宮市","1646000","1777680","2016/10/20","2016/10/31","2016/11/08 06:30","土木一式工事",""
"559","163038","","一般競争入札（総合評価）","電子入札","平成２７年度　港整　第２号－３","由良港港湾施設整備（外）合併漁業影響調査業務","130560","日高振興局建設部","日高郡由良町","23710000","25606800","2016/10/20","2016/11/16","2016/11/29 06:30","建設環境",""
"560","163064","","一般競争入札","電子入札","平成２７年度　交安交金　第１０４－５号－６","橋本五條線　交付金交通安全外合併工事","130360","伊都振興局建設部","橋本市","9590000","10357200","2016/10/20","2016/11/01","2016/11/02 15:36","土木一式工事",""
"561","163055","","一般競争入札","電子入札","平成２７年度　街特整　第２号－７","北島湊線地方特定道路整備調査業務","130160","海草振興局建設部","和歌山市","1220000","1317600","2016/10/20","2016/11/01","2016/11/05 06:30","物件",""
"562","162929","","一般競争入札","電子入札","平成２８年度　防交金　第１１１号","広川ダム堰堤改良外合併工事","130460","有田振興局建設部","有田郡広川町","3713000","4010040","2016/10/13","2016/10/26","2016/10/20 14:14","土木一式工事",""
"563","162939","","一般競争入札","電子入札","平成２８年度　道保交金　第９０４－９号","上初湯川皆瀬線（法事トンネル）交付金道路保全修正設計業務","130560","日高振興局建設部","日高郡日高川町","4750000","5130000","2016/10/13","2016/11/09","2016/11/12 06:30","トンネル",""
"564","162963","","一般競争入札","電子入札","平成２８年度　道保交金　第１０１－９号－２","国道３７１号（摩尼隧道）交付金道路保全工事","130360","伊都振興局建設部","伊都郡高野町","15298000","16521840","2016/10/13","2016/10/25","2016/10/27 09:09","土木一式工事",""
"565","162970","","一般競争入札","電子入札","平成２８年度　道改交金　第１４号－４","国道３７１号道路改良工事","130760","東牟婁振興局串本建設部","東牟婁郡古座川町","10242000","11061360","2016/10/13","2016/10/25","2016/10/28 06:30","とび・土工・コンクリート工事",""
"566","162943","","一般競争入札","電子入札","平成２８年度　道改交金　第１２８号－１１","御坊中津線道路改良工事","130560","日高振興局建設部","日高郡日高川町","4931000","5325480","2016/10/13","2016/10/25","2016/11/01 06:30","舗装工事",""
"567","162987","","一般競争入札","電子入札","平成２８年度　道改交金　第１１１号－１０","泉佐野岩出線外１線道路改良工事","130260","那賀振興局建設部","岩出市","6799000","7342920","2016/10/13","2016/10/25","2016/10/26 09:20","土木一式工事",""
"568","162957","","一般競争入札","電子入札","平成２８年度　道維修　第６号－３９","国道３７１号外道路維持修繕（道路管理単価契約）工事","130660","西牟婁振興局建設部","田辺市","2141000","2312280","2016/10/13","2016/10/24","2016/11/01 06:30","土木一式工事",""
"569","162923","","一般競争入札","電子入札","平成２８年度　道維修　第１００号－１５","国道３７０号外道路維持修繕外合併工事","130160","海南工事事務所","海南市","8182000","8836560","2016/10/13","2016/10/25","2016/10/28 06:30","土木一式工事",""
"570","162951","","一般競争入札","電子入札","平成２８年度　堤改　第３０２号－６","七瀬川堤防改修設計業務","130160","海草振興局建設部","和歌山市","11840000","12787200","2016/10/13","2016/10/25","2016/10/28 06:30","鋼構造及びコンクリート",""
"571","162936","","一般競争入札","電子入札","平成２８年度　堤改　第３０２号－５","七瀬川堤防改修調査業務","130160","海草振興局建設部","和歌山市","3630000","3920400","2016/10/13","2016/10/25","2016/10/28 06:30","地質調査",""
"572","162953","","一般競争入札","電子入札","平成２８年度　堤改　第３０２号－４","七瀬川堤防改修設計業務","130160","海草振興局建設部","和歌山市","3900000","4212000","2016/10/13","2016/10/25","2016/10/28 06:30","河川砂防及び海岸",""
"573","162969","","一般競争入札","電子入札","平成２８年度　地特　第３９号－６","すさみ古座線地方特定道路整備工事","130760","東牟婁振興局串本建設部","西牟婁郡すさみ町","3551000","3835080","2016/10/13","2016/10/25","2016/10/28 06:30","舗装工事",""
"574","162924","","一般競争入札","電子入札","平成２８年度　地特　第２０号－２","興加茂郷停車場線外地方特定道路整備外合併工事","130160","海南工事事務所","海南市","6075000","6561000","2016/10/13","2016/10/25","2016/10/28 06:30","土木一式工事",""
"575","162950","","一般競争入札（総合評価）","電子入札","平成２８年度　小道改　第６０６号－２","平瀬上三栖線小規模道路改良工事","130660","西牟婁振興局建設部","田辺市","16592000","17919360","2016/10/13","2016/11/01","2016/11/17 06:31","土木一式工事",""
"576","162938","","一般競争入札","電子入札","平成２８年度　小道改　第１号－５","国道３７０号小規模道路改良工事","130160","海南工事事務所","海草郡紀美野町","4404000","4756320","2016/10/13","2016/10/25","2016/10/28 06:30","舗装工事",""
"577","162965","","一般競争入札","電子入札","平成２８年度　小道改　第１０１号","山田岸上線　小規模道路改良工事","130360","伊都振興局建設部","橋本市","7234000","7812720","2016/10/13","2016/10/25","2016/10/27 09:11","土木一式工事",""
"578","162947","","一般競争入札","電子入札","平成２８年度　小土砂　第１０号","下津野２地区小規模土砂災害対策工事","130160","海南工事事務所","海南市","5058000","5462640","2016/10/13","2016/10/25","2016/10/25 17:00","土木一式工事",""
"579","162968","","一般競争入札","電子入札","平成２８年度　災がけ　第４号","平川吉子１地区災害緊急がけ崩れ対策工事","130560","日高振興局建設部","日高郡日高川町","5362000","5790960","2016/10/13","2016/10/25","2016/11/01 06:30","土木一式工事",""
"580","162962","","一般競争入札","電子入札","平成２８年度　災がけ　第３号","滝東滝１地区　災害緊急がけ崩れ対策工事","130360","伊都振興局建設部","伊都郡かつらぎ町","10485000","11323800","2016/10/13","2016/10/25","2016/10/27 09:07","とび・土工・コンクリート工事",""
"581","162961","","一般競争入札","電子入札","平成２８年度　災がけ　第２号","平地区　災害緊急がけ崩れ対策工事","130360","伊都振興局建設部","伊都郡かつらぎ町","4012000","4332960","2016/10/13","2016/10/25","2016/10/27 09:06","とび・土工・コンクリート工事",""
"582","162937","","一般競争入札","電子入札","平成２８年度　栽培　第１号－１","南部栽培漁業センター水槽基礎工事","071000","水産局 水産振興課","東牟婁郡串本町","965000","1042200","2016/10/13","2016/10/24","2016/11/08 17:36","土木一式工事",""
"583","162944","","一般競争入札","電子入札","平成２８年度　砂修　第７号－５","三越川砂防修繕工事","130660","西牟婁振興局建設部","田辺市","3451000","3727080","2016/10/13","2016/10/24","2016/11/01 06:30","土木一式工事",""
"584","162973","","一般競争入札","電子入札","平成２８年度　国交建住　第３号－２","栄谷団地６号棟外壁改修工事","081200","都市住宅局　公共建築課","和歌山市","14770000","15951600","2016/10/13","2016/10/25","2016/10/28 11:58","塗装工事",""
"585","162927","","一般競争入札","電子入札","平成２８年度　広改交金　第１０１号－４","国道１６９号道路改良設計業務","130770","東牟婁振興局新宮建設部","東牟婁郡北山村","5600000","6048000","2016/10/13","2016/10/24","2016/10/27 06:31","道路",""
"586","162934","","一般競争入札","電子入札","平成２８年度　交安交金　第３０３－５号－３","岩出海南線交付金交通安全外合併工事","130160","海南工事事務所","海南市","5219000","5636520","2016/10/13","2016/10/25","2016/10/28 06:30","舗装工事",""
"587","162956","","一般競争入札","電子入札","平成２８年度　県単港整　第１号","加太港　県単港湾施設整備工事","082501","和歌山下津港湾事務所","和歌山市","4429000","4783320","2016/10/13","2016/10/25","2016/10/28 06:30","舗装工事",""
"588","162954","","一般競争入札","電子入札","平成２８年度　県災　第７号－１","長野上秋津線道路災害復旧工事","130660","西牟婁振興局建設部","田辺市","2093000","2260440","2016/10/13","2016/10/24","2016/10/31 06:30","土木一式工事",""
"589","162967","","一般競争入札","電子入札","平成２８年度　県債　防交金　第２０４号－５","加茂川河川整備工事","130160","海南工事事務所","海南市","29196000","31531680","2016/10/13","2016/10/25","2016/10/28 06:30","とび・土工・コンクリート工事",""
"590","162932","","一般競争入札（総合評価）","電子入札","平成２８年度　県債　道改交金　第４号－１４","国道３７０号道路改良工事","130160","海南工事事務所","海南市","79982000","86380560","2016/10/13","2016/11/01","2016/11/11 06:30","土木一式工事",""
"591","162955","","一般競争入札（総合評価）","電子入札","平成２８年度　県債　道改交金　第１３３号－１５","白浜温泉線（仮称鴨居高架橋下部その５）道路改良工事","130660","西牟婁振興局建設部","西牟婁郡白浜町","49345000","53292600","2016/10/13","2016/11/01","2016/11/16 06:30","土木一式工事",""
"592","162959","","一般競争入札（総合評価）","電子入札","平成２８年度　県債　道改交金　第１３３号－１４","白浜温泉線（仮称鴨居高架橋下部その４）道路改良工事","130660","西牟婁振興局建設部","西牟婁郡白浜町","36248000","39147840","2016/10/13","2016/11/01","2016/11/16 06:30","土木一式工事",""
"593","162985","","一般競争入札（総合評価）","電子入札","平成２８年度　県債　道改交金　第１１３号－２０","和歌山橋本線（仮称岡崎大橋下部）道路改良工事","130160","海草振興局建設部","和歌山市","","","2016/10/13","2016/11/09","2016/11/28 06:30","土木一式工事",""
"594","162984","","一般競争入札（総合評価）","電子入札","平成２８年度　県債　道改交金　第１１３号－１８","和歌山橋本線（仮称岡崎大橋下部）道路改良工事","130160","海草振興局建設部","和歌山市","","","2016/10/13","2016/11/09","2016/11/28 06:30","土木一式工事",""
"595","162958","","一般競争入札","電子入札","平成２８年度　県交　第８号－３","池田港線交通安全施設等整備工事","130770","東牟婁振興局新宮建設部","新宮市","2953000","3189240","2016/10/13","2016/10/24","2016/10/27 06:31","とび・土工・コンクリート工事",""
"596","162940","","一般競争入札","電子入札","平成２８年度　県交　第５号－６","国道４２４号（外）交通安全施設等整備工事","130560","日高振興局建設部","日高郡日高川町","8789000","9492120","2016/10/13","2016/10/25","2016/10/29 06:30","土木一式工事",""
"597","162949","","一般競争入札","電子入札","平成２８年度　県交　第１号－１５","和歌山港北島線交通安全施設等整備工事","130160","海草振興局建設部","和歌山市","5145000","5556600","2016/10/13","2016/10/25","2016/10/28 06:30","土木一式工事",""
"598","162952","","一般競争入札","電子入札","平成２８年度　教総委　第３号","支援学校施設整備基本計画作成業務","500100","教育総務局　総務課","西牟婁郡上富田町","4720000","5097600","2016/10/13","2016/10/25","2016/11/01 06:30","建築一般",""
"599","162971","","一般競争入札（総合評価）","電子入札","平成２８年度　漁港整備　第８号－２","下田原漁港整備（機能強化）工事","130760","東牟婁振興局串本建設部","東牟婁郡串本町","46391000","50102280","2016/10/13","2016/11/01","2016/11/10 06:32","土木一式工事",""
"600","162972","","一般競争入札","電子入札","平成２８年度　急傾斜　第４２号","洞谷地区急傾斜地崩壊対策工事","130760","東牟婁振興局串本建設部","東牟婁郡串本町","2182000","2356560","2016/10/13","2016/10/25","2016/10/29 06:30","土木一式工事",""
"601","162941","","一般競争入札","電子入札","平成２８年度　河修　第７号－２３","名喜里川外河川修繕外合併工事","130660","西牟婁振興局建設部","田辺市","17009000","18369720","2016/10/13","2016/10/24","2016/10/31 06:30","土木一式工事",""
"602","162964","","一般競争入札","電子入札","平成２８年度　河修　第４号－１７","丹生川　河川修繕工事","130360","伊都振興局建設部","伊都郡九度山町","3631000","3921480","2016/10/13","2016/10/25","2016/10/27 09:10","土木一式工事",""
"603","162948","","一般競争入札","電子入札","平成２８年度　河修　第１号－１４","打手川河川修繕工事","130160","海草振興局建設部","和歌山市","5686000","6140880","2016/10/13","2016/10/25","2016/10/28 06:30","土木一式工事",""
"604","162974","","一般競争入札","電子入札","平成２８年度　営委　第５１号","橋本高校特別教室棟防水改修・外壁改修設計業務","081200","都市住宅局　公共建築課","橋本市","1540000","1663200","2016/10/13","2016/10/25","2016/10/28 10:19","建築一般",""
"605","162976","","一般競争入札","電子入札","平成２８年度　営　第３８号－１","有田中央高校調理教室他空調電気設備工事","081200","都市住宅局　公共建築課","有田郡有田川町","2510000","2710800","2016/10/13","2016/10/25","2016/10/28 06:30","電気工事",""
"606","162975","","一般競争入札","電子入札","平成２８年度　営　第３８号","有田中央高校調理教室他空調工事","081200","都市住宅局　公共建築課","有田郡有田川町","5920000","6393600","2016/10/13","2016/10/25","2016/10/28 06:30","管工事",""
"607","162925","","一般競争入札","電子入札","平成２８年度　ダム修繕　第２号－７","広川ダム修繕工事","130460","有田振興局建設部","有田郡広川町","5090000","5497200","2016/10/13","2016/10/26","2016/11/01 09:50","土木一式工事",""
"608","162935","","一般競争入札","電子入札","平成２８年度　ため池等　第３５号－３","別院歩路池改修その１工事","130190","海草振興局農林水産振興部","海南市","29954000","32350320","2016/10/13","2016/10/25","2016/10/28 06:30","土木一式工事",""
"609","162986","","一般競争入札","電子入札","平成２８年度　２８年災　第３号","かつらぎ桃山線道路災害復旧外合併工事","130260","那賀振興局建設部","紀の川市","2803000","3027240","2016/10/13","2016/10/25","2016/10/28 06:30","土木一式工事",""
"610","162942","","一般競争入札","電子入札","平成２８年度　２８年災　第２６号","久保田川河川災害復旧工事","130660","西牟婁振興局建設部","田辺市","6782000","7324560","2016/10/13","2016/10/24","2016/10/31 06:30","土木一式工事",""
"611","162946","","一般競争入札","電子入札","平成２８年度　２８年災　第２４号","谷川河川災害復旧工事","130660","西牟婁振興局建設部","田辺市","3100000","3348000","2016/10/13","2016/10/24","2016/11/01 06:30","土木一式工事",""
"612","162960","","一般競争入札","電子入札","平成２７年度　防交金　第２１１号－５","熊野川河川整備設計業務","130770","東牟婁振興局新宮建設部","新宮市","7100000","7668000","2016/10/13","2016/10/24","2016/10/29 06:30","河川砂防及び海岸",""
"613","162945","","一般競争入札","電子入札","平成２７年度　道改交金　第１２８号－８","御坊湯浅線道路改良（外）合併工事","130560","日高振興局建設部","日高郡由良町","1741000","1880280","2016/10/13","2016/10/25","2016/10/29 06:30","とび・土工・コンクリート工事",""
"614","162930","","一般競争入札","電子入札","平成２７年度　道改交金　第１２５号－５","生石公園線道路改良合併工事","130460","有田振興局建設部","有田郡有田川町","13792000","14895360","2016/10/13","2016/10/26","2016/10/14 10:04","土木一式工事",""
"615","162979","","一般競争入札","電子入札","平成２７年度　国交建住　第３号－９","県営住宅宇久井団地津波避難ビル照明設置工事","080800","都市住宅局　建築住宅課","東牟婁郡那智勝浦町","2240000","2419200","2016/10/13","2016/10/24","2016/11/07 20:14","電気工事",""
"616","162978","","一般競争入札","電子入札","平成２７年度　国交建住　第３号－８","県営住宅西跡之浦・内ノ浦・文里団地津波避難ビル照明設置工事","080800","都市住宅局　建築住宅課","田辺市","6860000","7408800","2016/10/13","2016/10/25","2016/10/28 14:48","電気工事",""
"617","162977","","一般競争入札","電子入札","平成２７年度　国交建住　第３号－７","県営住宅港団地津波避難ビル照明設置工事","080800","都市住宅局　建築住宅課","有田市","2410000","2602800","2016/10/13","2016/10/24","2016/11/07 20:11","電気工事",""
"618","162980","","一般競争入札","電子入札","平成２７年度　国交建住　第３号－１０","県営住宅三葛団地津波避難ビル照明設置工事","080800","都市住宅局　建築住宅課","和歌山市","2410000","2602800","2016/10/13","2016/10/24","2016/11/07 20:15","電気工事",""
"619","162928","","一般競争入札","電子入札","平成２７年度　海整　第６号－４","太地海岸海岸整備（耐震）工事","130770","東牟婁振興局新宮建設部","東牟婁郡太地町","16055000","17339400","2016/10/13","2016/10/24","2016/10/27 06:31","土木一式工事",""
"620","162966","","一般競争入札","電子入札","平成２７年度　２７年災助成　第１号－１７","江川災害復旧助成設計業務","130560","日高振興局建設部","日高郡日高川町","16830000","18176400","2016/10/13","2016/10/25","2016/11/01 06:30","鋼構造及びコンクリート",""
"621","162911","","一般競争入札","電子入札","平成２８年度　防交金　第２０４号－４","加茂川河川整備調査業務","130160","海南工事事務所","海南市","3390000","3661200","2016/10/06","2016/10/19","2016/10/22 06:30","事業損失",""
"622","162900","","一般競争入札","電子入札","平成２８年度　農試　第１号－１","農業試験場送水管布設工事","130290","那賀振興局農林水産振興部","紀の川市","5927000","6401160","2016/10/06","2016/10/19","2016/10/26 11:03","土木一式工事",""
"623","162914","","一般競争入札","電子入札","平成２８年度　道保交金　第９０３－１０号－５","国道４８０号　交付金道路保全設計業務","130360","伊都振興局建設部","伊都郡かつらぎ町","8760000","9460800","2016/10/06","2016/10/18","2016/10/20 14:16","鋼構造及びコンクリート",""
"624","162916","","一般競争入札","電子入札","平成２８年度　道調　第６号","龍神十津川線道路調査設計業務","130660","西牟婁振興局建設部","田辺市","2690000","2905200","2016/10/06","2016/11/04","2016/11/10 06:31","道路",""
"625","162915","","一般競争入札","電子入札","平成２８年度　道調　第５号","龍神十津川線道路調査測量業務","130660","西牟婁振興局建設部","田辺市","1730000","1868400","2016/10/06","2016/10/18","2016/10/26 06:30","航空測量",""
"626","162881","","一般競争入札","電子入札","平成２８年度　道改書　第４号－４","国道４２４号道路改良用地調査業務","130460","有田振興局建設部","有田郡有田川町","2010000","2170800","2016/10/06","2016/10/19","2016/10/25 10:23","物件",""
"627","162886","","一般競争入札","電子入札","平成２８年度　道改交金　第８号－９","国道３７０号道路改良設計業務","130160","海南工事事務所","海草郡紀美野町","7280000","7862400","2016/10/06","2016/10/19","2016/10/22 06:30","河川砂防及び海岸",""
"628","162889","","一般競争入札（総合評価）","電子入札","平成２８年度　道改交金　第１３８号－６","すさみ古座線道路改良工事","130760","東牟婁振興局串本建設部","西牟婁郡すさみ町","40834000","44100720","2016/10/06","2016/10/25","2016/11/02 06:30","土木一式工事",""
"629","162884","","一般競争入札","電子入札","平成２８年度　長命　第１号－２","井ノ口秋月線（井ノ口橋）橋りょう長命化対策工事","130160","海草振興局建設部","和歌山市","3981000","4299480","2016/10/06","2016/10/19","2016/10/22 06:30","土木一式工事",""
"630","162879","","一般競争入札","電子入札","平成２８年度　調査管理　第１号－１","恋野地区土地改良施設補修工事","130390","伊都振興局農林水産振興部","橋本市","1409000","1521720","2016/10/06","2016/10/18","2016/10/19 13:37","舗装工事",""
"631","162912","","一般競争入札","電子入札","平成２８年度　地特　第３号","和歌山橋本線　地方特定道路整備工事","130360","伊都振興局建設部","伊都郡かつらぎ町","1992000","2151360","2016/10/06","2016/10/18","2016/10/20 14:15","舗装工事",""
"632","162893","","一般競争入札","電子入札","平成２８年度　地特　第２６号－４","吉備金屋線地方特定道路整備工事","130460","有田振興局建設部","有田郡有田川町","23733000","25631640","2016/10/06","2016/10/19","2016/10/19 16:15","土木一式工事",""
"633","162888","","一般競争入札","電子入札","平成２８年度　地特　第１９号－３","引尾下津線地方特定道路整備外合併工事","130160","海南工事事務所","海南市","7504000","8104320","2016/10/06","2016/10/19","2016/10/22 06:30","舗装工事",""
"634","162885","","一般競争入札（総合評価）","電子入札","平成２８年度　小道改　第８０４号","南平野下里停車場線小規模道路改良工事","130770","東牟婁振興局新宮建設部","東牟婁郡那智勝浦町","33980000","36698400","2016/10/06","2016/10/25","2016/11/02 06:30","とび・土工・コンクリート工事",""
"635","162887","","一般競争入札","電子入札","平成２８年度　小道改　第３５３号－２","引尾下津線小規模道路改良測量業務","130160","海南工事事務所","海南市","2720000","2937600","2016/10/06","2016/10/19","2016/10/22 06:30","測量一般",""
"636","162883","","一般競争入札","電子入札","平成２８年度　小土砂　第６１号","橋ノ前地区小規模土砂災害対策工事","130770","東牟婁振興局新宮建設部","東牟婁郡那智勝浦町","7708000","8324640","2016/10/06","2016/10/18","2016/10/21 06:30","土木一式工事",""
"637","162902","","一般競争入札","電子入札","平成２８年度　国交建住　第３号－１","栄谷団地４・５号棟外壁改修工事","081200","都市住宅局　公共建築課","和歌山市","29250000","31590000","2016/10/06","2016/10/19","2016/10/25 06:30","塗装工事",""
"638","162896","","一般競争入札","電子入札","平成２８年度　漁港海岸　第１号－５","田辺漁港海岸整備（環境）工事","130660","西牟婁振興局建設部","田辺市","8188000","8843040","2016/10/06","2016/10/18","2016/10/26 06:30","土木一式工事",""
"639","162882","","一般競争入札","電子入札","平成２８年度　急傾斜　第４７号－２","常渡９地区急傾斜地崩壊対策工事","130770","東牟婁振興局新宮建設部","東牟婁郡太地町","1890000","2041200","2016/10/06","2016/10/18","2016/10/21 06:30","とび・土工・コンクリート工事",""
"640","162899","","一般競争入札","電子入札","平成２８年度　基水　第３号－５０","有田川地区　糸我第2水槽設計業務","130490","有田振興局農林水産振興部","有田市","1230000","1328400","2016/10/06","2016/10/19","2016/10/25 10:44","鋼構造及びコンクリート",""
"641","162907","","一般競争入札","電子入札","平成２８年度　基幹農道　第３号－５","山畑２期地区基幹農道舗装工事","130160","海南工事事務所","海草郡紀美野町","5548000","5991840","2016/10/06","2016/10/19","2016/10/22 06:30","舗装工事",""
"642","162913","","一般競争入札","電子入札","平成２８年度　河修　第４号－１７","丹生川　河川修繕工事","130360","伊都振興局建設部","伊都郡九度山町","3631000","3921480","2016/10/06","2016/10/18","2016/10/07 09:31","土木一式工事",""
"643","162921","","一般競争入札","電子入札","平成２８年度　河修　第３号－１７","住吉川外河川修繕工事","130260","那賀振興局建設部","岩出市","1508000","1628640","2016/10/06","2016/10/18","2016/10/18 13:13","土木一式工事",""
"644","162906","","一般競争入札","電子入札","平成２８年度　営　第４０号－１","耐久高校食物教室他空調電気設備工事","081200","都市住宅局　公共建築課","有田郡湯浅町","3300000","3564000","2016/10/06","2016/10/18","2016/10/20 06:30","電気工事",""
"645","162905","","一般競争入札","電子入札","平成２８年度　営　第４０号","耐久高校食物教室他空調工事","081200","都市住宅局　公共建築課","有田郡湯浅町","7130000","7700400","2016/10/06","2016/10/19","2016/10/21 13:56","管工事",""
"646","162904","","一般競争入札","電子入札","平成２８年度　営　第３１号－１","貴志川高校調理実習室他空調電気設備工事","081200","都市住宅局　公共建築課","紀の川市","3680000","3974400","2016/10/06","2016/10/18","2016/10/21 13:51","電気工事",""
"647","162903","","一般競争入札","電子入札","平成２８年度　営　第３１号","貴志川高校調理実習室他空調工事","081200","都市住宅局　公共建築課","紀の川市","4630000","5000400","2016/10/06","2016/10/18","2016/10/21 13:53","管工事",""
"648","162880","","一般競争入札","電子入札","平成２８年度　ダム修繕　第１号－１１","二川ダム板尾水位局無線化修繕工事","130460","有田振興局建設部","有田郡有田川町","6380000","6890400","2016/10/06","2016/10/19","2016/10/25 10:20","電気通信工事",""
"649","162908","","一般競争入札","電子入札","平成２８年度　２８年災　第７号","比井路谷川河川災害復旧工事","130560","日高振興局建設部","日高郡日高町","1324000","1429920","2016/10/06","2016/10/18","2016/10/21 06:30","土木一式工事",""
"650","162891","","一般競争入札","電子入札","平成２８年度　２８年災　第５号","由良川河川災害復旧工事","130560","日高振興局建設部","日高郡由良町","5348000","5775840","2016/10/06","2016/10/18","2016/10/22 06:30","土木一式工事",""
"651","162898","","一般競争入札","電子入札","平成２８年度　２８年災　第３０号","仙波谷川河川災害復旧工事","130660","西牟婁振興局建設部","田辺市","2066000","2231280","2016/10/06","2016/10/18","2016/10/26 06:30","土木一式工事",""
"652","162897","","一般競争入札","電子入札","平成２８年度　２８年災　第２８号","稲屋川河川災害復旧工事","130660","西牟婁振興局建設部","田辺市","2656000","2868480","2016/10/06","2016/10/18","2016/10/26 06:30","土木一式工事",""
"653","162917","","一般競争入札","電子入札","平成２８年度　２８年災　第２２号","平瀬上三栖線道路災害復旧工事","130660","西牟婁振興局建設部","田辺市","3175000","3429000","2016/10/06","2016/10/18","2016/10/26 06:30","土木一式工事",""
"654","162895","","一般競争入札","電子入札","平成２８年度　２８年災　第２１号","温川田辺線道路災害復旧工事","130660","西牟婁振興局建設部","田辺市","3879000","4189320","2016/10/06","2016/10/18","2016/10/26 15:12","とび・土工・コンクリート工事",""
"655","162894","","一般競争入札","電子入札","平成２８年度　２８年災　第１８号","国道３７１号道路災害復旧工事","130660","西牟婁振興局建設部","田辺市","8732000","9430560","2016/10/06","2016/10/18","2016/10/26 06:30","土木一式工事",""
"656","162909","","一般競争入札","電子入札","平成２８年度　２８年災　第１６号","樮川河川災害復旧（外）合併工事","130560","日高振興局建設部","日高郡印南町","2282000","2464560","2016/10/06","2016/10/18","2016/10/18 17:06","土木一式工事",""
"657","162910","","一般競争入札（総合評価）","電子入札","平成２７年度　道改交金　第１０６号－３","岩出野上線道路改良外合併工事","130260","那賀振興局建設部","紀の川市","91912000","99264960","2016/10/06","2016/10/26","2016/11/08 06:30","土木一式工事",""
"658","162922","","一般競争入札","電子入札","平成２７年度　砂防　第１３号－３","堂谷川砂防工事","130560","日高振興局建設部","日高郡日高川町","18418000","19891440","2016/10/06","2016/10/18","2016/10/21 06:30","土木一式工事",""
"659","162890","","一般競争入札","電子入札","平成２７年度　高速　第１０１号－９","熊井川高速道路関連河川改修測量業務","130460","有田振興局建設部","有田郡有田川町","840000","907200","2016/10/06","2016/10/19","2016/10/25 10:21","測量一般",""
"660","162892","","一般競争入札（総合評価）","電子入札","平成２７年度　２７年災助成　第１号－２０","江川災害復旧助成工事","130560","日高振興局建設部","日高郡日高川町","48463000","52340040","2016/10/06","2016/10/25","2016/11/01 06:30","土木一式工事",""
"661","162918","","一般競争入札","電子入札","平成２７年度　２７年災　第３０号","江川災害復旧助成工事","130560","日高振興局建設部","日高郡日高川町","18575000","20061000","2016/10/06","2016/10/18","2016/10/21 06:30","土木一式工事",""
"662","162920","","一般競争入札","電子入札","平成２７年度　２７年災　第３０－３号－３","江川災害復旧助成工事","130560","日高振興局建設部","日高郡日高川町","15895000","17166600","2016/10/06","2016/10/18","2016/10/21 06:30","土木一式工事",""
"663","162919","","一般競争入札","電子入札","平成２７年度　２７年災　第３０－３号－２","江川災害復旧助成工事","130560","日高振興局建設部","日高郡日高川町","18200000","19656000","2016/10/06","2016/10/18","2016/10/21 06:30","土木一式工事",""
"664","162783","","一般競争入札","電子入札","平成２８年度　流下　第２号－２","紀の川中流流域下水道那賀浄化センター場内整備（その１）工事","130260","那賀振興局建設部","岩出市","5543000","5986440","2016/09/29","2016/10/12","2016/10/17 06:30","土木一式工事",""
"665","162793","","一般競争入札","電子入札","平成２８年度　防交金　第１０４号－２","春日川河川整備工事","130260","那賀振興局建設部","紀の川市","1014000","1095120","2016/09/29","2016/10/12","2016/10/18 08:10","舗装工事",""
"666","162833","","一般競争入札","電子入札","平成２８年度　畑総　第２号－４","みなべ地区農道区画線工事","130590","日高振興局農林水産振興部","日高郡みなべ町","1050000","1134000","2016/09/29","2016/10/13","2016/10/19 06:30","塗装工事",""
